ID	Buffington_201_001	Buffington_201_002	Buffington_201_003	Buffington_201_005	Buffington_201_006	Buffington_201_007	Buffington_201_008	Buffington_201_009	Buffington_201_010	Buffington_201_011	Buffington_201_013	Buffington_201_014
ASV_412	0	0	0	0	9	0	0	5	0	0	0	0
ASV_413	0	0	0	0	0	0	0	14	0	0	0	0
ASV_414	0	0	0	0	0	0	0	14	0	0	0	0
ASV_415	0	0	0	0	0	0	0	0	0	14	0	0
ASV_416	2	2	0	0	5	0	0	1	0	3	0	0
ASV_417	1	0	0	6	0	3	0	0	0	0	3	0
ASV_418	0	13	0	0	0	0	0	0	0	0	0	0
ASV_419	0	3	0	0	0	0	10	0	0	0	0	0
ASV_420	0	0	0	0	0	0	0	6	0	7	0	0
ASV_421	0	0	0	0	0	0	0	0	0	13	0	0
ASV_422	0	0	0	0	0	12	0	0	0	0	0	0
ASV_423	0	0	0	0	0	0	0	10	0	2	0	0
ASV_424	0	0	0	0	0	0	0	2	0	10	0	0
ASV_425	0	0	0	0	0	0	0	0	0	12	0	0
ASV_426	0	0	0	0	0	0	0	0	0	12	0	0
ASV_427	0	0	0	0	0	0	0	0	0	12	0	0
ASV_428	0	0	0	0	0	0	0	0	0	12	0	0
ASV_429	11	0	0	0	0	0	0	0	0	0	0	0
ASV_430	5	0	2	0	0	4	0	0	0	0	0	0
ASV_431	3	0	1	0	1	0	0	0	0	6	0	0
ASV_432	3	0	0	0	7	0	0	0	0	1	0	0
ASV_433	3	0	1	0	1	0	0	1	0	5	0	0
ASV_434	2	0	0	0	0	0	0	0	0	9	0	0
ASV_435	0	0	6	0	0	0	0	2	0	0	3	0
ASV_436	0	0	0	0	0	1	0	1	0	9	0	0
ASV_437	0	0	0	0	0	0	0	0	0	11	0	0
ASV_438	10	0	0	0	0	0	0	0	0	0	0	0
ASV_439	8	0	0	0	0	0	0	0	0	2	0	0
ASV_440	2	0	0	2	1	1	0	3	0	1	0	0
ASV_441	2	0	0	0	4	0	0	4	0	0	0	0
ASV_442	1	0	0	5	0	0	1	1	0	0	0	2
ASV_443	0	10	0	0	0	0	0	0	0	0	0	0
ASV_444	0	2	0	0	0	3	0	3	0	0	2	0
ASV_445	0	0	0	0	9	0	0	0	0	1	0	0
ASV_446	0	0	0	0	0	0	9	0	0	0	1	0
ASV_447	0	0	0	0	0	0	0	0	0	10	0	0
ASV_448	0	0	0	0	0	0	0	0	0	2	8	0
ASV_449	9	0	0	0	0	0	0	0	0	0	0	0
ASV_450	0	0	9	0	0	0	0	0	0	0	0	0
ASV_451	0	0	6	0	0	3	0	0	0	0	0	0
ASV_452	0	0	0	2	3	4	0	0	0	0	0	0
ASV_453	0	0	0	0	9	0	0	0	0	0	0	0
ASV_454	0	0	0	0	0	4	0	5	0	0	0	0
ASV_455	0	0	0	0	0	0	0	0	3	6	0	0
